Id,Title,Description,Duration,CostUSD,CostCAD,Sample
M9739E - (1997),Approach And Coach - A Friendly Word,A look at how supervisors can improve employee performance through friendly and constructive communications.,33,561,710,
M9737E - (1997),Safe Switch Handling,"The proper method of inspecting and safely throwing high and low stand switches, as well as the safe and proper method for handling derails.",20,340,430,
M9735E - (1997),Safe Drawbar Re-Alignment - US Version,"A look at two different devices used to safely align drawbars - ""The Knucklemate"" and ""The Jacking Stick"" - for US audiences only.",8,136,172,
M1106E - (2011),Go With The Flow - Proper Grinding Of A Turnout,"The proper method, tools and procedures of grinding switch points and frogs.",22,374,473,Preview Clip
M9728E - (1997),"CWR Track Inspection: Overstress - Signs, Conditions and Locations",What to look for when inspecting CWR for signs of overstress.,9,153,193,
M9627E2 - (1996),Safe Use Of Rail Expanders - Simplex 120 Ton,"This video demonstrates the proper procedures for inspecting, maintaining, installing, operating and removing a Simplex 120 ton hydraulic rail expander.",14,238,301,
M9627E1 - (1996),Safe Use Of Rail Expanders - Permaquip 120 Ton,"This video demonstrates the proper procedures for inspecting, maintaining, installing, operating and removing a Permaquip 120 ton hydraulic rail expander.",16,272,344,
M9613E - (1996),CWR Spring Review '96,CWR maintenance - Spring review '96.,49,833,1055,
M9502E - (1995),Train Crew Track Inspection,Designed to inform train crews what track and structure defects to look for and report.,22,374,473,
M9364E - (1993),Rail Measurement Training,An in-depth look at inspecting rail for wear and defects. Demonstrates how to measure head wear.,24,408,516,
M9247ES - (1992),Destressing CWR - Short Version,A quick review of the procedures involved in destressing CWR.,7,119,150,
M9247EL - (1992),Destressing CWR - Long Version,"This video provides the recommended procedures for destressing continuous welded rail (CWR) on both timber and concrete ties. Covers track structure integrity, theory of expansion / contraction of rail, destressing procedures, etc.",18,306,387,
M9216E - (1992),Job Briefing,"This video breaks job briefings down into four segments: pre - planning, job basics, work assignments, and follow - up.",10,170,215,
M9444E - (1994),Track Inspection Guidelines / Track Train Dynamics,An in-depth look at track geometry and the wheel / rail interface. Intended to improve employees understanding of the physics related to track inspection.,25,425,538,Preview Clip
M9440E - (1994),CWR Fall Review Update,Inspecting CWR -Fall review - Update,29,493,624,
